breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
Dorkie,Small,Mixed Breed Dogs,14,3.4,5,4,4,2,2,2,4,4,4,4,4,2,3,1,2,2,2,1,2.8,3,4,2,3,2,2,2,2,2,2,3,United States of America,5,10,5,12,13,16,7.50000405,8.4216484,39.7837304,-100.445882
Doxiepoo,Medium,Mixed Breed Dogs,12,3.4,5,3,4,2,3,3,2.67,5,2,1,3,3,3,NA,3,2,4,2,4,3,5,3,4,5,4,4,4,4,4,5,United States of America,8,23,5,30,10,15,15.50000837,17.3724056,39.7837304,-100.445882
Doxle,Medium,Mixed Breed Dogs,13,2.6,2,4,4,1,2,4,4.67,5,4,5,4,3.6,5,1,4,4,4,2,4,3,4,3,5,5,5,4.67,5,4,5,5,United States of America,5,15,11,30,12,14,10.0000054,20.3265964,39.7837304,-100.445882
Drentsche Patrijshond,Very Large,Working Dogs,12,3.2,3,2,4,3,4,3,4.33,5,4,4,3,3.2,4,3,3,4,2,3,3,2,4,3,4,2,1,4,5,3,4,4,Netherlands,21,25,40,60,11,14,23.00001242,49.60395,52.2434979,5.6343227
Drever,Large,Hound Dogs,14,2.6,4,3,2,2,2,3,4.67,5,5,4,3,3.2,3,2,3,5,3,3,3.6,3,4,4,3,4,2,4,5,3,4,4,Sweden,12,16,35,40,12,15,14.00000756,37.2139856,59.6749712,14.5208584
Dutch Shepherd,Very Large,Herding Dogs,14,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2,3,4,2,3,3.2,5,4,2,3,2,2,3.67,4,3,4,4,Netherlands,21,25,50,70,12,15,23.00001242,59.52474,52.2434979,5.6343227
English Cocker Spaniel,Large,Sporting Dogs,13,3.8,5,4,5,1,4,3,5,5,5,5,5,3.2,3,1,3,4,5,2,4.2,4,5,3,5,4,4,4,5,3,4,5,England,15,17,26,34,12,14,16.00000864,29.76237,52.5310214,-1.2649062
English Foxhound,Very Large,Hound Dogs,12,2.6,1,2,3,4,3,3,4.33,4,4,5,3,3,3,1,5,4,2,3,3.8,3,3,4,5,4,5,4.67,5,4,5,5,England,25,27,55,75,10,13,26.00001404,64.485135,52.5310214,-1.2649062
English Setter,Very Large,Sporting Dogs,13,2.6,1,3,4,1,4,3,5,5,5,5,5,3.2,3,2,3,3,5,3,4.2,3,5,4,5,4,5,3.67,4,2,5,5,England,23,27,45,80,11,15,25.0000135,61.9939144,52.5310214,-1.2649062
English Springer Spaniel,Very Large,Sporting Dogs,12,2.4,1,3,4,1,3,4,5,5,5,5,4,2.4,3,1,2,3,3,3,4.2,5,5,3,5,3,4,4.33,5,3,5,5,England,18,22,45,55,9,15,20.0000108,49.60395,52.5310214,-1.2649062
